Ich bin.;I am.
Käme er heute noch, so könnten wir alles besprechen.;If he came today, we could discuss everything.
Ich ginge lieber zu Fuß, wenn das Wetter besser wäre.;I would rather walk if the weather were better.
Gäbe es eine andere Möglichkeit, so hätten wir sie längst genutzt.;If there were another option, we would have used it long ago.
Wüsste ich seine Adresse, so schriebe ich ihm sofort.;If I knew his address, I would write to him at once.
Ließe der Lärm nach, könnte das Kind endlich einschlafen.;If the noise let up, the child could finally fall asleep.
Bliebe sie noch eine Woche, so schafften wir die Arbeit gemeinsam.;If she stayed another week, we would manage the work together.
Fände ich den Beleg, so bekäme ich das Geld zurück.;If I found the receipt, I would get the money back.
Er nähme die Stelle an, wenn das Gehalt stimmte.;He would take the job if the salary were right.
Sie hielte ihr Versprechen, auch wenn es sie viel kostete.;She would keep her promise, even if it cost her a lot.
Brächte er die Unterlagen mit, so ersparte er uns viel Mühe.;If he brought the documents along, he would spare us a lot of trouble.
Ich dächte nie daran, ihn zu enttäuschen.;I would never think of disappointing him.
Spräche sie langsamer, so verstünde ich jedes Wort.;If she spoke more slowly, I would understand every word.
Träte er zurück, so übernähme die Kollegin die Leitung.;If he resigned, the colleague would take over the management.
Stünde das Regal woanders, so wirkte der Raum größer.;If the shelf stood elsewhere, the room would look bigger.
Säße ich am Fenster, so sähe ich den ganzen Platz.;If I sat by the window, I would see the whole square.
Läge das Dorf näher, so besuchten wir es öfter.;If the village lay nearer, we would visit it more often.
Fiele der Preis, so kaufte ich sofort zwei davon.;If the price fell, I would buy two of them at once.
Riefe er endlich an, so wäre die Sache geklärt.;If he finally called, the matter would be settled.
Ich schriebe ihr längst, hätte ich nur ihre Nummer.;I would have written to her long ago if I only had her number.
Zöge er in die Stadt, so fände er leichter Arbeit.;If he moved to the city, he would find work more easily.
Sie trüge den Mantel öfter, wenn er wärmer wäre.;She would wear the coat more often if it were warmer.
Führe der Zug pünktlich, so erreichten wir den Anschluss.;If the train ran on time, we would catch the connection.
Flöge ich nach Wien, so nähme ich den frühen Flug.;If I flew to Vienna, I would take the early flight.
Schliefe er länger, so wäre er tagsüber ausgeruhter.;If he slept longer, he would be more rested during the day.
Hieße die Straße anders, so fände man das Haus leichter.;If the street were called something else, one would find the house more easily.
Bekäme sie den Zuschlag, so begänne sie im Herbst.;If she got the contract, she would start in autumn.
Verlöre er den Prozess, so müsste er alles zahlen.;If he lost the case, he would have to pay everything.
Gewönne unsere Mannschaft, so stiege sie in die erste Liga auf.;If our team won, it would move up to the first division.
Ich empfähle dir das kleinere Modell.;I would recommend the smaller model to you.
Geschähe ihm etwas, so wüsste ich mir keinen Rat.;If something happened to him, I would be at a loss.
Bräuchte ich Hilfe, so meldete ich mich bei dir.;If I needed help, I would get in touch with you.
Täte er das Gleiche, so verurteilte ihn niemand.;If he did the same, no one would condemn him.
Hätte ich das früher gesehen, so hätte ich anders gehandelt.;If I had seen that earlier, I would have acted differently.
Äße sie regelmäßiger, so ginge es ihr besser.;If she ate more regularly, she would feel better.
Tränke er weniger Kaffee, so schliefe er ruhiger.;If he drank less coffee, he would sleep more peacefully.
Hülfe uns jemand, so wäre die Scheune bis Abend fertig.;If someone helped us, the barn would be finished by evening.
Er würfe den Ball weiter, wenn er richtig trainierte.;He would throw the ball further if he trained properly.
Liefe sie schneller, so gewönne sie das Rennen.;If she ran faster, she would win the race.
Schlösse man die Fenster, so bliebe die Wärme im Zimmer.;If one closed the windows, the warmth would stay in the room.
Flösse der Bach stärker, so triebe er die Mühle wieder an.;If the brook flowed more strongly, it would drive the mill again.
Genösse er den Abend, so redete er nicht ständig von der Arbeit.;If he enjoyed the evening, he wouldn't constantly talk about work.
Begänne der Kurs später, so könnte ich teilnehmen.;If the course began later, I could take part.
Gälte die Regel für alle, so beschwerte sich niemand.;If the rule applied to everyone, no one would complain.
Ich riete dir, den Vertrag genau zu lesen.;I would advise you to read the contract carefully.
Schlüge man einen Nagel ein, so hinge das Bild sicher.;If one drove in a nail, the picture would hang securely.
Wüchse der Baum schneller, so gäbe er bald Schatten.;If the tree grew faster, it would soon give shade.
Wüsche sie das Hemd noch heute, so wäre es morgen trocken.;If she washed the shirt today, it would be dry tomorrow.
Träfe ich ihn zufällig, so spräche ich ihn darauf an.;If I met him by chance, I would bring it up with him.
Vergäße er den Termin, so wäre das äußerst peinlich.;If he forgot the appointment, that would be extremely embarrassing.
Läse sie den Brief, so verstünde sie meine Lage.;If she read the letter, she would understand my situation.
Griffe er nicht ein, so ginge alles schief.;If he didn't intervene, everything would go wrong.
Schiene die Sonne, so säßen wir längst im Garten.;If the sun were shining, we would long since be sitting in the garden.
Stiege der Preis weiter, so verkauften viele ihre Anteile.;If the price rose further, many would sell their shares.
Liehe er mir das Werkzeug, so reparierte ich das Regal selbst.;If he lent me the tool, I would repair the shelf myself.
Schnitte man den Baum zurück, so trüge er nächstes Jahr mehr.;If one cut the tree back, it would bear more next year.
Ritte sie öfter, so hätte sie weniger Rückenschmerzen.;If she rode more often, she would have less back pain.
Stritten sie nicht ständig, so ginge die Arbeit voran.;If they didn't argue constantly, the work would progress.
Höbe er die Kiste allein, so verletzte er sich womöglich.;If he lifted the crate alone, he might injure himself.
Stürbe der alte Baum, so fehlte dem Hof der Schatten.;If the old tree died, the farm would lack shade.
Verdürbe das Fleisch, so müssten wir alles wegwerfen.;If the meat spoiled, we would have to throw everything away.
Bräche das Eis, so käme niemand mehr über den Fluss.;If the ice broke, no one would get across the river anymore.
Mäße man genauer nach, so fände man den Fehler.;If one measured more precisely, one would find the error.
Bäte er höflicher, so hälfe man ihm bestimmt.;If he asked more politely, people would surely help him.
Röche es nach Rauch, so riefe ich sofort die Feuerwehr.;If it smelled of smoke, I would call the fire brigade immediately.
Böte man mir mehr, so überlegte ich es mir noch einmal.;If I were offered more, I would think it over again.
Löge er mich an, so merkte ich es sofort.;If he lied to me, I would notice it at once.
Wöge das Paket weniger, so kostete der Versand die Hälfte.;If the parcel weighed less, the shipping would cost half.
Finge man den Hund ein, so blieben die Beete unversehrt.;If someone caught the dog, the flowerbeds would stay intact.
Hinge das Bild höher, so sähe man es vom Flur aus.;If the picture hung higher, one would see it from the hallway.
Lüde man mich ein, so käme ich gern.;If I were invited, I would gladly come.
Schüfe man mehr Plätze, so wartete niemand so lange.;If more places were created, no one would wait so long.
Ich könnte dir das Buch morgen mitbringen.;I could bring you the book tomorrow.
Sie müsste eigentlich längst hier sein.;She really ought to have been here long ago.
Dürfte ich Sie kurz etwas fragen?;Might I ask you something briefly?
Du solltest den Arzt noch heute anrufen.;You should call the doctor today.
