Ich bin.;I am.
Hast du Lust, am Wochenende etwas zu unternehmen?;Do you feel like doing something on the weekend?
Ich würde gerne ins Kino gehen, falls du Zeit hast.;I'd like to go to the cinema, in case you have time.
Gestern habe ich jemanden getroffen, den ich ewig nicht gesehen hatte.;Yesterday I met someone I hadn't seen in ages.
Wollen wir uns morgen Abend auf einen Kaffee treffen?;Shall we meet for a coffee tomorrow evening?
Ich kann leider nicht kommen, weil ich arbeiten muss.;Unfortunately I can't come because I have to work.
Hast du schon gehört, dass unser Lieblingsrestaurant geschlossen hat?;Have you already heard that our favorite restaurant has closed?
Lass uns doch mal wieder zusammen kochen!;Let's cook together again sometime!
Ich habe neulich jemanden kennengelernt, der auch aus deiner Stadt kommt.;I recently met someone who also comes from your town.
Weißt du noch, wie wir uns das erste Mal begegnet sind?;Do you remember how we first met?
Es tut mir leid, dass ich mich so lange nicht gemeldet habe.;I'm sorry that I haven't been in touch for so long.
Hättest du mir das früher gesagt, hätte ich anders geplant.;Had you told me that earlier, I would have planned differently.
Ich freue mich schon darauf, dich endlich wiederzusehen!;I'm already looking forward to finally seeing you again!
Kennst du jemanden, der mir bei meinem Umzug helfen könnte?;Do you know someone who could help me with my move?
Letzte Woche bin ich zufällig einem alten Bekannten begegnet.;Last week I randomly ran into an old acquaintance.
Magst du lieber im Restaurant essen oder lieber zu Hause?;Do you prefer eating in a restaurant or at home?
Ich habe mir überlegt, dass wir mal wieder wandern gehen könnten.;I've been thinking that we could go hiking again.
Hast du Lust, mit mir schwimmen zu gehen?;Do you feel like going swimming with me?
Es wäre schön, wenn wir uns öfter sehen würden.;It would be nice if we saw each other more often.
Ich muss dir unbedingt von meinem Urlaub erzählen!;I absolutely have to tell you about my vacation!
Kannst du mir jemanden empfehlen, der gut Gitarre unterrichtet?;Can you recommend someone to me who teaches guitar well?
Gestern Abend habe ich endlich die Serie zu Ende geschaut.;Yesterday evening I finally finished watching the series.
Wir sollten mal wieder zusammen ins Theater gehen.;We should go to the theater together again.
Ich bin total müde, weil ich gestern kaum geschlafen habe.;I'm totally tired because I hardly slept yesterday.
Hast du schon Pläne für die Feiertage gemacht?;Have you already made plans for the holidays?
Es gibt da jemanden, den ich dir gerne vorstellen würde.;There's someone I'd like to introduce you to.
Ich hätte nie gedacht, dass wir so gute Freunde werden würden.;I would never have thought that we'd become such good friends.
Lass uns spontan sein und einfach losfahren!;Let's be spontaneous and just drive off!
Hättest du mir nicht geholfen, hätte ich es nicht geschafft.;If you hadn't helped me, I wouldn't have managed it.
Ich vermisse die Zeit, als wir noch zusammen studiert haben.;I miss the time when we still studied together.
Kennst du vielleicht jemanden, der eine Wohnung vermietet?;Do you perhaps know someone who's renting out an apartment?
Wir könnten uns bei mir treffen, anstatt ins Café zu gehen.;We could meet at my place instead of going to the café.
Ich finde es schade, dass du schon gehen musst.;I think it's a shame that you already have to leave.
Hast du Lust, nächste Woche zum Konzert zu kommen?;Do you feel like coming to the concert next week?
Es macht mir immer so viel Spaß, Zeit mit dir zu verbringen.;It's always so much fun for me to spend time with you.
Ich würde vorschlagen, dass wir uns um sieben Uhr treffen.;I would suggest that we meet at seven o'clock.
Wenn jemand anruft, sag bitte, dass ich nicht da bin.;If someone calls, please say that I'm not here.
Gestern hätte ich dich fast angerufen, aber dann war es zu spät.;Yesterday I almost called you, but then it was too late.
Ich kann mir nicht vorstellen, wie das Leben ohne dich wäre.;I can't imagine what life would be like without you.
Hast du schon mal darüber nachgedacht, zusammen zu verreisen?;Have you ever thought about traveling together?
Es gibt niemanden, mit dem ich lieber meine Zeit verbringe als mit dir.;There's no one I'd rather spend my time with than you.
Ich habe gestern jemanden gesehen, der dir sehr ähnlich sah.;Yesterday I saw someone who looked very similar to you.
Wir sollten definitiv mal wieder Bowling spielen gehen!;We should definitely go bowling again!
Ich bin noch nie jemandem begegnet, der so lustig ist wie du.;I've never met anyone who's as funny as you.
Hättest du gewusst, dass ich komme, hättest du aufgeräumt?;If you had known I was coming, would you have tidied up?
Ich würde gerne öfter etwas mit euch unternehmen.;I'd like to do things with you guys more often.
Es ist mir peinlich, dass ich deinen Geburtstag vergessen habe.;I'm embarrassed that I forgot your birthday.
Kennst du jemanden, der sich mit Computern auskennt?;Do you know someone who knows about computers?
Lass uns doch mal wieder einen Spieleabend machen!;Let's have a game night again!
Ich hatte gehofft, dass du heute Zeit hättest.;I had hoped that you'd have time today.
Wir könnten zum See fahren, falls das Wetter schön wird.;We could drive to the lake in case the weather gets nice.
Ich habe jemanden gebeten, mir bei den Vorbereitungen zu helfen.;I asked someone to help me with the preparations.
Es war so lustig gestern, wir haben die ganze Nacht durchgelacht.;It was so funny yesterday, we laughed all night long.
Hast du schon jemanden gefunden, der mit dir joggen geht?;Have you already found someone to go jogging with you?
Ich wünschte, wir hätten mehr Zeit füreinander.;I wish we had more time for each other.
Wir haben uns ewig nicht mehr gesehen, du fehlst mir!;We haven't seen each other in ages, I miss you!
Es gibt niemanden, dem ich mehr vertrauen würde als dir.;There's no one I would trust more than you.
Ich bin froh, dass ich dich als Freund habe.;I'm glad that I have you as a friend.
Hättest du mich nicht überzeugt, wäre ich nicht mitgekommen.;If you hadn't convinced me, I wouldn't have come along.
Lass uns nächstes Mal zu mir gehen, da ist mehr Platz.;Let's go to my place next time, there's more space there.
Ich habe vorhin jemanden nach dem Weg gefragt.;I asked someone for directions earlier.
Wir sollten uns öfter spontan verabreden, das macht mehr Spaß.;We should arrange to meet spontaneously more often, that's more fun.
Ich kann es kaum erwarten, dir meine neue Wohnung zu zeigen!;I can hardly wait to show you my new apartment!
Hast du schon mal jemandem einen Streich gespielt?;Have you ever played a prank on someone?
Es tut mir leid, wenn ich dich enttäuscht habe.;I'm sorry if I disappointed you.
Ich würde dir gerne helfen, aber ich habe wirklich keine Zeit.;I'd like to help you, but I really don't have time.
Kennst du jemanden, der Französisch spricht?;Do you know someone who speaks French?
Wir haben gestern bis spät in die Nacht gequatscht.;We chatted until late into the night yesterday.
Ich finde es toll, dass du immer für mich da bist.;I think it's great that you're always there for me.
Hättest du nicht so gedrängt, hätte ich es mir anders überlegt.;If you hadn't pushed so much, I would have reconsidered.
Es wäre schön gewesen, wenn du auch dabei gewesen wärst.;It would have been nice if you had been there too.
