Ich bin.; I am.
Gestern habe ich meinen Freund in der Stadt getroffen und wir sind zusammen ins Kino gegangen.;Yesterday I met my friend in the city and we went to the cinema together.
Letzte Woche hat meine Familie einen Ausflug in die Berge gemacht und dort viel Zeit verbracht.;Last week my family went on a trip to the mountains and spent a lot of time there.
Ich habe heute Morgen verschlafen, weil mein Wecker nicht geklingelt hat.;I overslept this morning because my alarm didn’t ring.
Im Sommer fahre ich oft ans Meer, weil ich gerne schwimme und mich entspanne.;In summer I often go to the sea because I like swimming and relaxing.
Meine Schwester hat gestern ihr Zimmer aufgeräumt, bevor sie ihre Freunde eingeladen hat.;My sister cleaned her room yesterday before she invited her friends.
Als ich ein Kind war, habe ich oft draußen mit meinen Freunden gespielt.;When I was a child, I often played outside with my friends.
Wir sind gestern spät nach Hause gekommen, weil der Zug Verspätung hatte.;We came home late yesterday because the train was delayed.
Ich lerne Deutsch, weil ich in Deutschland arbeiten möchte.;I am learning German because I want to work in Germany.
Heute regnet es stark, deshalb bleibe ich zu Hause und lese ein Buch.;It is raining heavily today, therefore I stay at home and read a book.
Ich habe meine Hausaufgaben gemacht, bevor ich fernsehen durfte.;I did my homework before I was allowed to watch TV.
Am Wochenende gehe ich meistens einkaufen und kaufe frisches Essen.;On weekends I usually go shopping and buy fresh food.
Meine Eltern arbeiten viel, aber sie haben am Abend Zeit für die Familie.;My parents work a lot, but they have time for the family in the evening.
Wir haben letztes Jahr in einem kleinen Hotel in Italien gewohnt.;Last year we stayed in a small hotel in Italy.
Ich bin mit dem Fahrrad zur Schule gefahren, weil das Wetter schön war.;I rode my bike to school because the weather was nice.
Er hat seine Freundin angerufen, nachdem er die gute Nachricht gehört hatte.;He called his girlfriend after he heard the good news.
Ich möchte später eine Reise nach Deutschland machen, um mein Deutsch zu verbessern.;I want to travel to Germany later to improve my German.
Meine Freunde und ich haben am Wochenende zusammen gekocht und Musik gehört.;My friends and I cooked together and listened to music on the weekend.
Ich habe gestern lange gearbeitet, deshalb bin ich heute sehr müde.;I worked for a long time yesterday, therefore I am very tired today.
