Ich bin.; I am.
Ich habe gestern in einem neuen italienischen Restaurant zu Abend gegessen.;I had dinner yesterday at a new Italian restaurant.
Die Kellnerin erklärte freundlich die Spezialitäten des Tages.;The waitress explained the daily specials in a friendly manner.
Obwohl das Restaurant voll war, fanden wir sofort einen Tisch.;Although the restaurant was full, we immediately found a table.
Wenn Sie möchten, kann ich Ihnen die Weinkarte zeigen.;If you like, I can show you the wine list.
Wir entschieden uns, eine Vorspeise und ein Hauptgericht zu bestellen.;We decided to order an appetizer and a main course.
Der Koch bereitet jedes Gericht mit frischen Zutaten zu.;The chef prepares every dish with fresh ingredients.
Nachdem wir die Speisekarte studiert hatten, wählten wir ein vegetarisches Menü.;After we had studied the menu, we chose a vegetarian menu.
Sie fragte, ob wir einen Tisch für vier Personen reserviert hätten.;She asked if we had reserved a table for four people.
Es wird empfohlen, mindestens einen Tag im Voraus zu reservieren.;It is recommended to make a reservation at least one day in advance.
Der Service war ausgezeichnet, und wir fühlten uns sehr willkommen.;The service was excellent, and we felt very welcome.
Obwohl das Restaurant teuer war, lohnte sich der Besuch.;Although the restaurant was expensive, the visit was worth it.
Wenn Sie möchten, kann ich Ihnen ein Gericht ohne Gluten empfehlen.;If you like, I can recommend a gluten-free dish.
Wir haben beschlossen, das Dessert zu teilen, um alles zu probieren.;We decided to share the dessert to try everything.
Die Kellnerin brachte uns das Essen schneller als erwartet.;The waitress brought us the food faster than expected.
Er betonte, dass das Tagesgericht besonders frisch und lecker sei.;He emphasized that the daily special was especially fresh and delicious.
Nachdem wir das Hauptgericht gegessen hatten, bestellten wir Kaffee.;After we had eaten the main course, we ordered coffee.
Sie fragte, ob wir mit der Rechnung zufrieden seien.;She asked if we were satisfied with the bill.
Es ist wichtig, die Allergien der Gäste zu berücksichtigen.;It is important to take the guests’ allergies into account.
Wir mussten ein paar Minuten warten, bis unser Tisch frei wurde.;We had to wait a few minutes until our table became free.
Obwohl wir spät ankamen, begrüßte uns der Kellner freundlich.;Although we arrived late, the waiter greeted us politely.
Wenn Sie möchten, kann ich Ihnen ein lokales Gericht empfehlen.;If you like, I can recommend a local dish.
Wir entschieden uns, den Rotwein zu einem Stück Rindfleisch zu probieren.;We decided to try the red wine with a piece of beef.
Der Koch hat das Gericht perfekt gewürzt.;The chef seasoned the dish perfectly.
Nachdem wir die Rechnung bezahlt hatten, verabschiedeten wir uns.;After we had paid the bill, we said goodbye.
Sie fragte, ob wir den Nachtisch lieber im Restaurant oder zum Mitnehmen möchten.;She asked if we preferred the dessert in the restaurant or to take away.
Es wird empfohlen, die Spezialität des Hauses zu probieren.;It is recommended to try the house specialty.
Wir diskutierten, ob wir draußen auf der Terrasse oder drinnen sitzen sollten.;We discussed whether we should sit outside on the terrace or inside.
Obwohl das Essen etwas lange dauerte, war es jeden Moment wert.;Although the food took a bit long, it was worth every moment.
Wenn Sie Fragen zum Menü haben, zögern Sie bitte nicht zu fragen.;If you have questions about the menu, please do not hesitate to ask.
Die Kellnerin erklärte, dass das Dessert frisch zubereitet werde.;The waitress explained that the dessert was freshly prepared.
Wir haben beschlossen, ein Glas Champagner zur Feier des Tages zu trinken.;We decided to drink a glass of champagne to celebrate the day.
Er bedauerte, dass er das Gericht nicht früher bestellt hatte.;He regretted that he had not ordered the dish earlier.
Obwohl wir keinen Platz reserviert hatten, fanden wir einen freien Tisch.;Although we had not reserved a table, we found a free one.
Wenn Sie möchten, kann ich Ihnen ein leichtes Gericht empfehlen.;If you like, I can recommend a light dish.
Wir entschieden uns, die Vorspeise zu teilen.;We decided to share the appetizer.
Der Kellner bot uns an, die Weinempfehlung des Hauses zu probieren.;The waiter offered us to try the house wine recommendation.
Nachdem wir die Getränke bestellt hatten, begann der Abend angenehm.;After we had ordered the drinks, the evening started pleasantly.
Sie fragte, ob wir mit dem Service zufrieden waren.;She asked if we were satisfied with the service.
Es ist wichtig, die Tischordnung bei großen Gruppen zu beachten.;It is important to consider the seating arrangement for large groups.
Wir mussten die Bestellung ändern, da ein Gericht ausverkauft war.;We had to change the order because a dish was sold out.
Obwohl das Restaurant klein war, war die Atmosphäre sehr gemütlich.;Although the restaurant was small, the atmosphere was very cozy.
Wenn Sie möchten, kann ich Ihnen ein Gericht mit Fisch empfehlen.;If you like, I can recommend a fish dish.
Wir entschieden uns, das Tagesmenü zu probieren.;We decided to try the daily menu.
Der Kellner erklärte, dass alle Zutaten regional seien.;The waiter explained that all ingredients were regional.
Nachdem wir die Vorspeise gegessen hatten, bestellten wir den Hauptgang.;After we had eaten the appetizer, we ordered the main course.
Sie fragte, ob wir auch vegetarische Optionen bevorzugen.;She asked if we also preferred vegetarian options.
Es wird empfohlen, den Wein vor dem Essen zu probieren.;It is recommended to taste the wine before the meal.
Wir diskutierten, ob wir den Nachtisch jetzt oder später essen sollten.;We discussed whether we should eat the dessert now or later.
Obwohl das Restaurant sehr beliebt war, wurden wir schnell bedient.;Although the restaurant was very popular, we were served quickly.
Wenn Sie möchten, kann ich Ihnen die Spezialitäten des Küchenchefs vorstellen.;If you like, I can introduce you to the chef’s specials.
Wir haben uns entschieden, das Dessert zu probieren, obwohl wir schon satt waren.;We decided to try the dessert, even though we were already full.
Obwohl der Service sehr schnell war, war das Essen nicht ganz heiß.;Although the service was very fast, the food was not entirely hot.
Wenn Sie möchten, kann ich Ihnen die Tagesangebote vorstellen.;If you like, I can present the daily specials to you.
Der Koch erklärte, dass alle Speisen frisch zubereitet werden.;The chef explained that all dishes are prepared fresh.
Nachdem wir die Getränke bestellt hatten, begann der Kellner, die Teller zu servieren.;After we had ordered the drinks, the waiter began serving the plates.
Sie fragte, ob wir eine Allergie gegen Nüsse oder Milchprodukte hätten.;She asked if we had an allergy to nuts or dairy products.
Es wird empfohlen, einen Tisch im Voraus zu reservieren, besonders am Wochenende.;It is recommended to reserve a table in advance, especially on weekends.
Wir diskutierten, ob wir das Menü à la carte oder das feste Menü wählen sollten.;We discussed whether to choose the à la carte menu or the set menu.
Obwohl das Restaurant klein war, war die Einrichtung sehr modern.;Although the restaurant was small, the interior was very modern.
Wenn Sie möchten, kann ich Ihnen ein veganes Gericht empfehlen.;If you like, I can recommend a vegan dish.
Wir entschieden uns, einen Tisch am Fenster zu nehmen, um die Aussicht zu genießen.;We decided to take a table by the window to enjoy the view.
Der Kellner bot an, die Getränke nachzufüllen, bevor wir das Essen beendet hatten.;The waiter offered to refill the drinks before we had finished the meal.
Nachdem wir das Hauptgericht gegessen hatten, brachte der Kellner das Dessert.;After we had eaten the main course, the waiter brought the dessert.
Sie fragte, ob wir möchten, dass der Wein gekühlt serviert wird.;She asked if we wanted the wine served chilled.
Es ist wichtig, dass man höflich bleibt, wenn man eine Beschwerde hat.;It is important to remain polite when making a complaint.
Wir mussten die Bestellung ändern, da ein Gericht nicht mehr verfügbar war.;We had to change the order because a dish was no longer available.
Obwohl wir schon spät kamen, war das Personal sehr freundlich.;Although we arrived late, the staff was very friendly.
Wenn du möchtest, kann ich dir ein Gericht mit Meeresfrüchten empfehlen.;If you like, I can recommend a seafood dish.
Wir entschieden uns, ein Glas Sekt zur Feier des Geburtstags zu trinken.;We decided to drink a glass of sparkling wine to celebrate the birthday.
Der Koch erklärte, dass die Suppe täglich frisch zubereitet wird.;The chef explained that the soup is prepared fresh daily.
Nachdem wir die Vorspeise probiert hatten, bestellten wir den Hauptgang.;After we had tried the appetizer, we ordered the main course.
Sie fragte, ob wir lieber einen Tisch drinnen oder draußen möchten.;She asked if we preferred a table inside or outside.
Es wird empfohlen, die Weine vor dem Essen zu probieren.;It is recommended to taste the wines before the meal.
Wir diskutierten, ob wir die Rechnung zusammen oder getrennt bezahlen sollten.;We discussed whether to pay the bill together or separately.
Obwohl das Restaurant sehr beliebt war, konnten wir sofort einen Tisch bekommen.;Although the restaurant was very popular, we could get a table immediately.
Wenn Sie möchten, kann ich Ihnen ein Gericht mit Hühnchen empfehlen.;If you like, I can recommend a chicken dish.
Wir entschieden uns, die Spezialität des Hauses zu probieren.;We decided to try the house specialty.
Der Kellner erklärte, dass alle Zutaten aus der Region stammen.;The waiter explained that all ingredients come from the region.
Nachdem wir die Getränke bestellt hatten, begann das Personal, die Speisen zu servieren.;After we had ordered the drinks, the staff began serving the food.
Sie fragte, ob wir möchten, dass der Nachtisch direkt serviert wird.;She asked if we wanted the dessert served immediately.
Es ist wichtig, dass man die Tischmanieren beachtet.;It is important to observe table manners.
Wir mussten einige Minuten warten, bis unser bestelltes Gericht fertig war.;We had to wait a few minutes until our ordered dish was ready.
Obwohl wir schon bestellt hatten, fragte der Kellner, ob wir noch zusätzliche Getränke möchten.;Although we had already ordered, the waiter asked if we wanted any additional drinks.
Wenn Sie möchten, kann ich Ihnen ein Dessert empfehlen, das sehr beliebt ist.;If you like, I can recommend a dessert that is very popular.
Wir entschieden uns, die Vorspeisen zu teilen.;We decided to share the appetizers.
Der Kellner bot uns an, das Hauptgericht nach unseren Wünschen anzupassen.;The waiter offered to customize the main course according to our wishes.
Nachdem wir das Dessert gegessen hatten, bestellten wir noch Kaffee.;After we had eaten the dessert, we ordered coffee.
Sie fragte, ob wir möchten, dass das Essen warm bleibt, bis wir fertig sind.;She asked if we wanted the food to stay warm until we finished.
Es wird empfohlen, bei großen Gruppen vorher einen Tisch zu reservieren.;It is recommended to reserve a table in advance for large groups.
Wir diskutierten, ob wir ein leichtes oder ein reichhaltiges Menü wählen sollten.;We discussed whether to choose a light or a hearty menu.
Obwohl das Restaurant klein war, fühlten wir uns sehr wohl.;Although the restaurant was small, we felt very comfortable.
Wenn du möchtest, kann ich dir das Menü mit den meisten Empfehlungen vorstellen.;If you like, I can present you the menu with the most recommendations.
Wir entschieden uns, die Weine nach dem Geschmack des Kellners zu wählen.;We decided to choose the wines according to the waiter’s suggestion.
Der Koch erklärte, dass die Pastagerichte täglich frisch zubereitet werden.;The chef explained that the pasta dishes are prepared fresh daily.
Nachdem wir die Hauptspeise gegessen hatten, brachte der Kellner das Dessert.;After we had eaten the main course, the waiter brought the dessert.
Sie fragte, ob wir das Menü lieber à la carte oder als Set wählen möchten.;She asked if we preferred to choose the menu à la carte or as a set.
Es ist wichtig, dass man das Trinkgeld angemessen gibt.;It is important to give an appropriate tip.
Wir mussten die Bestellung ändern, weil ein Gericht ausverkauft war.;We had to change the order because a dish was sold out.
Obwohl wir spät ankamen, wurden wir herzlich begrüßt.;Although we arrived late, we were warmly welcomed.
Wenn Sie möchten, kann ich Ihnen ein Gericht empfehlen, das typisch für die Region ist.;If you like, I can recommend a dish that is typical for the region.
Wir entschieden uns, das Mittagsmenü zu probieren, da es sehr günstig war.;We decided to try the lunch menu because it was very affordable.
Obwohl das Restaurant laut war, genossen wir die Atmosphäre.;Although the restaurant was noisy, we enjoyed the atmosphere.
Wenn Sie möchten, kann ich Ihnen ein Gericht mit regionalem Käse empfehlen.;If you like, I can recommend a dish with local cheese.
Der Kellner erklärte, dass alle Salate frisch zubereitet werden.;The waiter explained that all salads are prepared fresh.
Nachdem wir die Getränke bekommen hatten, begannen wir mit der Vorspeise.;After we had received the drinks, we started with the appetizer.
Sie fragte, ob wir den Nachtisch jetzt oder später genießen möchten.;She asked if we wanted to enjoy the dessert now or later.
Es wird empfohlen, die Spezialitäten des Küchenchefs zu probieren.;It is recommended to try the chef’s specialties.
Wir diskutierten, ob wir einen Tisch im Innen- oder Außenbereich wählen sollten.;We discussed whether to choose a table inside or outside.
Obwohl wir keinen Tisch reserviert hatten, konnten wir sofort Platz nehmen.;Although we had not reserved a table, we could sit immediately.
Wenn du möchtest, kann ich dir ein Gericht mit frischem Gemüse empfehlen.;If you like, I can recommend a dish with fresh vegetables.
Wir entschieden uns, den Fisch des Tages zu probieren.;We decided to try the fish of the day.
Der Koch erklärte, dass alle Gewürze sorgfältig ausgewählt werden.;The chef explained that all spices are carefully selected.
Nachdem wir die Hauptgerichte gegessen hatten, brachte der Kellner den Käsewagen.;After we had eaten the main courses, the waiter brought the cheese cart.
Sie fragte, ob wir mit dem Geschmack des Weins zufrieden seien.;She asked if we were satisfied with the taste of the wine.
Es ist wichtig, dass man höflich bleibt, auch wenn das Essen länger dauert.;It is important to remain polite, even if the food takes longer.
