die Reise;journey
der Urlaub;vacation
die Ferien;holidays
das Reiseziel;travel destination
der Tourist;tourist
die Touristin;female tourist
der Reisende;traveler
die Buchung;booking
die Reservierung;reservation
der Flug;flight
das Flugzeug;airplane
der Flughafen;airport
der Abflug;departure
die Ankunft;arrival
der Zug;train
der Bahnhof;train station
das Gleis;platform
die Fahrkarte;ticket
der Sitzplatz;seat
das Gepäck;luggage
der Koffer;suitcase
der Rucksack;backpack
die Tasche;bag
der Pass;passport
das Visum;visa
die Grenze;border
das Hotel;hotel
die Unterkunft;accommodation
die Jugendherberge;hostel
das Zimmer;room
die Rezeption;reception
der Schlüssel;key
der Aufzug;elevator
die Aussicht;view
der Strand;beach
das Meer;sea
der Berg;mountain
die Stadt;city
das Dorf;village
die Sehenswürdigkeit;sight
das Museum;museum
die Führung;tour (guided)
der Reiseführer;travel guide (book/person)
die Karte;map
der Plan;plan
die Route;route
die Strecke;route/distance
die Reiseversicherung;travel insurance
der Zoll;customs
die Kontrolle;control/check
der Anschluss;connection
die Verspätung;delay
die Abfahrt;departure
die Rückkehr;return
die Heimreise;journey home
die Auslandreise;trip abroad
die Inlandsreise;domestic trip
reisen;to travel
abfahren;to depart
ankommen;to arrive
buchen;to book
reservieren;to reserve
einchecken;to check in
auschecken;to check out
umsteigen;to transfer/change trains
verpassen;to miss (e.g., a train)
packen;to pack
auspacken;to unpack
mitnehmen;to take along
zurückkehren;to return
besichtigen;to visit/sightsee
erkunden;to explore
planen;to plan
organisieren;to organize
bezahlen;to pay
stornieren;to cancel
sich verirren;to get lost
fahren;to go (by vehicle)
fliegen;to fly
laufen;to walk
mieten;to rent
übernachten;to stay overnight
schnell;fast
langsam;slow
teuer;expensive
günstig;cheap
bequem;comfortable
unbequem;uncomfortable
direkt;direct
indirekt;indirect
voll;full/crowded
leer;empty
pünktlich;on time
verspätet;delayed
früh;early
spät;late
nah;near
weit;far
international;international
lokal;local
touristisch;touristy
ruhig;quiet
lebhaft;lively
malerisch;picturesque
abenteuerlich;adventurous
entspannend;relaxing
anstrengend;exhausting
der Reisepass;passport
die Bordkarte;boarding pass
der Schalter;counter
die Sicherheitskontrolle;security check
der Ausgang;exit
der Eingang;entrance
die Durchsage;announcement
der Flugsteig;gate
das Handgepäck;carry-on luggage
das Aufgabegepäck;checked baggage
der Sitz;seat
die Reihe;row
das Fenster;window
der Gang;aisle
die Verspätung;delay
der Zwischenstopp;layover
die Direktverbindung;direct connection
der Umweg;detour
die Buchungsbestätigung;booking confirmation
die Stornierung;cancellation
die Gebühr;fee
die Ermäßigung;discount
der Reisepreis;travel price
die Rechnung;bill
die Währung;currency
der Wechselkurs;exchange rate
das Bargeld;cash
die Kreditkarte;credit card
der Automat;machine
die Fahrplanauskunft;timetable information
