Ich bin.;I am.
Ich habe gestern eine interessante Dokumentation über Klimawandel gesehen.;I watched an interesting documentary about climate change yesterday.
Obwohl es stark regnete, ging sie ohne Regenschirm spazieren.;Although it rained heavily, she went for a walk without an umbrella.
Wenn ich mehr Zeit hätte, würde ich einen Sprachkurs besuchen.;If I had more time, I would attend a language course.
Wir diskutierten stundenlang über die Vor- und Nachteile der neuen Technologie.;We discussed for hours the advantages and disadvantages of the new technology.
Der Lehrer erklärte den Schülern, wie man komplexe Probleme Schritt für Schritt löst.;The teacher explained to the students how to solve complex problems step by step.
Hätte ich das gewusst, hätte ich meine Meinung sofort geändert.;Had I known that, I would have changed my opinion immediately.
Während des Urlaubs lernte ich viele interessante Menschen kennen.;During the vacation, I got to know many interesting people.
Es wird empfohlen, mindestens acht Stunden pro Nacht zu schlafen.;It is recommended to sleep at least eight hours per night.
Sie versucht, ihre beruflichen und privaten Verpflichtungen besser zu organisieren.;She is trying to organize her professional and personal obligations better.
Nachdem wir das Museum besucht hatten, gingen wir in ein kleines Café.;After we had visited the museum, we went to a small café.
Er wird nächste Woche eine wichtige Präsentation vor dem Vorstand halten.;He will give an important presentation to the board next week.
Trotz der schwierigen Situation bewahrte sie ihre Gelassenheit.;Despite the difficult situation, she maintained her composure.
Wenn das Wetter morgen schön ist, werden wir im Park ein Picknick machen.;If the weather is nice tomorrow, we will have a picnic in the park.
Ich habe beschlossen, meine Ernährung umzustellen, um gesünder zu leben.;I have decided to change my diet in order to live healthier.
Sie fragte, ob ich ihr bei den Hausaufgaben helfen könnte.;She asked whether I could help her with the homework.
Es ist erstaunlich, wie schnell sich die Technologie in den letzten Jahren entwickelt hat.;It is amazing how quickly technology has developed in recent years.
Wir müssen die Präsentation bis Freitag fertigstellen, sonst verpassen wir die Frist.;We have to finish the presentation by Friday, otherwise we will miss the deadline.
Er bedauerte, dass er das Angebot nicht rechtzeitig angenommen hatte.;He regretted that he had not accepted the offer in time.
Obwohl er müde war, arbeitete er noch bis spät in die Nacht.;Although he was tired, he worked late into the night.
