die Schule;school
der Unterricht;lesson, class
die Klasse;class, grade
der Lehrer;teacher (male)
die Lehrerin;teacher (female)
der Schüler;student, pupil (male)
die Schülerin;student, pupil (female)
das Klassenzimmer;classroom
die Tafel;blackboard
die Kreide;chalk
der Schwamm;sponge, eraser
das Heft;notebook
das Buch;book
das Lehrbuch;textbook
der Stift;pen, pencil
der Kugelschreiber;ballpoint pen
der Bleistift;pencil
der Füller;fountain pen
der Filzstift;felt-tip pen, marker
der Marker;highlighter
der Radiergummi;eraser
das Lineal;ruler
der Zirkel;compass
das Geodreieck;set square
der Taschenrechner;calculator
der Ranzen;school bag, satchel
die Schultasche;school bag
der Rucksack;backpack
das Federmäppchen;pencil case
das Etui;pencil case
die Schere;scissors
der Kleber;glue
der Klebestift;glue stick
die Mappe;folder, binder
der Ordner;binder, folder
der Stundenplan;timetable, schedule
die Hausaufgabe;homework
die Prüfung;exam, test
die Klausur;written exam
der Test;test
die Note;grade, mark
das Zeugnis;report card
das Halbjahreszeugnis;mid-year report
die Beurteilung;assessment, evaluation
die Pause;break, recess
die große Pause;long break
die Mittagspause;lunch break
der Schulhof;schoolyard, playground
die Aula;assembly hall
die Turnhalle;gymnasium, sports hall
die Sporthalle;sports hall
die Bibliothek;library
die Schulbibliothek;school library
die Mensa;cafeteria, canteen
die Kantine;canteen
der Schulbus;school bus
das Schuljahr;school year
das Semester;semester, term
das Halbjahr;half-year, semester
die Ferien;vacation, holidays
die Sommerferien;summer vacation
die Winterferien;winter vacation
die Herbstferien;autumn vacation
die Osterferien;Easter vacation
die Weihnachtsferien;Christmas vacation
der Feiertag;public holiday
der Unterrichtsausfall;class cancellation
die Vertretung;substitute teacher, cover
der Direktor;principal, headmaster
die Direktorin;principal, headmistress
der Schulleiter;school principal
die Schulleitung;school administration
der Rektor;rector, principal
das Sekretariat;secretary's office
die Sekretärin;secretary
der Hausmeister;janitor, caretaker
der Stundenlehrer;subject teacher
der Klassenlehrer;class teacher, form tutor
die Klassenlehrerin;class teacher (female)
der Fachlehrer;subject specialist teacher
die Lehrkraft;teaching staff, teacher
das Kollegium;teaching staff, faculty
der Schuldirektor;school principal
die Schulkonferenz;school conference
der Elternabend;parents' evening
die Elternsprechstunde;parent-teacher conference
der Elternsprechtag;parent consultation day
das Klassenbuch;class register
das Kursbuch;course book
die Anwesenheit;attendance
die Abwesenheit;absence
die Fehlzeit;absence, time missed
entschuldigt;excused
unentschuldigt;unexcused
schwänzen;to skip class, play truant
fehlen;to be absent
anwesend;present
abwesend;absent
pünktlich;punctual, on time
verspätet;late, delayed
die Verspätung;lateness, delay
zu spät kommen;to be late, arrive late
der Unterrichtsbeginn;start of lessons
das Unterrichtsende;end of lessons
die Schulstunde;school lesson, period
die Doppelstunde;double period
die Einzelstunde;single period
die Freistunde;free period
die Mathestunde;math lesson
die Deutschstunde;German lesson
die Englischstunde;English lesson
das Fach;subject
das Hauptfach;main subject
das Nebenfach;minor subject
das Wahlfach;elective subject
