der Arbeitsplatz;workplace
die Arbeit;work/job
der Job;job
die Stelle;position
die Karriere;career
der Beruf;profession
die Beschäftigung;employment
die Vollzeitstelle;full-time job
die Teilzeitstelle;part-time job
das Praktikum;internship
der Praktikant;intern
die Praktikantin;female intern
der Arbeitgeber;employer
der Arbeitnehmer;employee
der Kollege;colleague
die Kollegin;female colleague
der Chef;boss
die Chefin;female boss
die Abteilung;department
das Team;team
das Büro;office
der Schreibtisch;desk
der Computer;computer
der Laptop;laptop
das Telefon;telephone
die E-Mail;email
die Besprechung;meeting
das Meeting;meeting
die Präsentation;presentation
der Bericht;report
die Aufgabe;task
die Verantwortung;responsibility
die Frist;deadline
der Termin;appointment
der Kalender;calendar
der Zeitplan;schedule
die Überstunde;overtime
die Pause;break
die Mittagspause;lunch break
der Feierabend;end of workday
die Arbeitszeit;working time
das Gehalt;salary
der Lohn;wage
die Bezahlung;payment
die Gehaltserhöhung;salary increase
die Bewerbung;application
das Bewerbungsgespräch;job interview
der Lebenslauf;CV/resume
das Anschreiben;cover letter
die Qualifikation;qualification
die Erfahrung;experience
die Fähigkeit;skill
die Ausbildung;training/education
das Studium;studies
die Universität;university
die Schule;school
der Kurs;course
die Weiterbildung;further training
die Schulung;training session
die Prüfung;exam
das Zertifikat;certificate
die Karrierechance;career opportunity
die Arbeitslosigkeit;unemployment
die Kündigung;termination/resignation
der Vertrag;contract
die Vertragsverlängerung;contract extension
die Arbeitsbedingungen;working conditions
die Arbeitskultur;work culture
die Motivation;motivation
die Produktivität;productivity
die Effizienz;efficiency
die Leistung;performance
die Zielsetzung;goal setting
das Ziel;goal
der Erfolg;success
der Misserfolg;failure
die Herausforderung;challenge
die Lösung;solution
die Entscheidung;decision
die Verantwortung;responsibility
die Zusammenarbeit;collaboration
die Kommunikation;communication
das Feedback;feedback
die Verbesserung;improvement
die Innovation;innovation
die Entwicklung;development
die Planung;planning
die Organisation;organization
die Struktur;structure
der Prozess;process
die Regel;rule
die Vorschrift;regulation
die Sicherheit;safety
die Gesundheit;health
die Belastung;stress/burden
arbeiten;to work
anstellen;to hire
kündigen;to resign/fire
bewerben;to apply
einladen;to invite (to interview)
vorstellen;to introduce
organisieren;to organize
planen;to plan
leiten;to lead
verwalten;to manage
koordinieren;to coordinate
durchführen;to carry out
erledigen;to complete
abgeben;to submit
überprüfen;to check
verbessern;to improve
entwickeln;to develop
diskutieren;to discuss
verhandeln;to negotiate
kommunizieren;to communicate
berichten;to report
analysieren;to analyze
entscheiden;to decide
umsetzen;to implement
kontrollieren;to control/check
delegieren;to delegate
motivieren;to motivate
unterstützen;to support
zusammenarbeiten;to collaborate
effizient;efficient
produktiv;productive
kreativ;creative
innovativ;innovative
organisiert;organized
diszipliniert;disciplined
zuverlässig;reliable
flexibel;flexible
stressig;stressful
anspruchsvoll;demanding
herausfordernd;challenging
langweilig;boring
spannend;exciting
anstrengend;exhausting
gut bezahlt;well-paid
unterbezahlt;underpaid
überlastet;overworked
motiviert;motivated
unmotiviert;unmotivated
erfolgreich;successful
erfahren;experienced
unerfahren;inexperienced
qualifiziert;qualified
unqualifiziert;unqualified
verantwortlich;responsible
unverantwortlich;irresponsible
pünktlich;punctual
unpünktlich;unpunctual
professionell;professional
unprofessionell;unprofessional
transparent;transparent
kompliziert;complicated
einfach;simple
strukturiert;structured
chaotisch;chaotic
die Unternehmensstrategie;corporate strategy
die Geschäftsführung;executive management
die Entscheidungsfindung;decision-making process
die langfristige Planung;long-term planning
die Zielvorgabe;target specification
die Zielerreichung;goal achievement
die Effizienzsteigerung;efficiency improvement
die Prozessoptimierung;process optimization
die Umstrukturierung;restructuring
die Restrukturierungsmaßnahme;restructuring measure
die Innovationstätigkeit;innovation activity
die Wettbewerbsfähigkeit;competitiveness
die Marktposition;market position
die Marktanalyse;market analysis
die Prognose;forecast
die Trendanalyse;trend analysis
die Risikobewertung;risk assessment
die Nachhaltigkeitsstrategie;sustainability strategy
die Unternehmensethik;corporate ethics
die Compliance-Richtlinie;compliance guideline
die Governance-Struktur;governance structure
die Verantwortungsethik;ethics of responsibility
die Führungsstruktur;leadership structure
die Hierarchieebene;hierarchical level
die Dezentralisierung;decentralization
die Zentralisierung;centralization
die Digitalisierung;digital transformation
die Automatisierung;automation
die Implementierung;implementation
die Skalierbarkeit;scalability
die Arbeitsablaufoptimierung;workflow optimization
der Genehmigungsprozess;approval process
die Dokumentationspflicht;documentation requirement
die Berichtspflicht;reporting obligation
die Aktenführung;record keeping
die Datenverarbeitung;data processing
die Informationsverarbeitung;information processing
die Systemintegration;system integration
die Schnittstelle;interface
die Plattformlösung;platform solution
die Cloud-Infrastruktur;cloud infrastructure
die IT-Sicherheit;IT security
der Datenschutz;data protection
die Vertraulichkeit;confidentiality
die Verschwiegenheitspflicht;confidentiality obligation
die Auditierung;auditing
die Qualitätskontrolle;quality control
die Qualitätsprüfung;quality inspection
die Zertifizierung;certification
die Standardisierung;standardization
die Normierung;normalization/standard setting
die Prozesskette;process chain
die Personalentwicklung;human resource development
die Personalabteilung;HR department
die Talentförderung;talent development
die Mitarbeiterbindung;employee retention
die Fluktuation;employee turnover
die Arbeitszufriedenheit;job satisfaction
die Leistungsbeurteilung;performance evaluation
das Mitarbeitergespräch;employee review
die Zielvereinbarung;target agreement
die Bonusregelung;bonus scheme
die Vergütungsstruktur;compensation structure
die Sozialleistungen;employee benefits
die Arbeitsrechtsprechung;labor law
die Tarifverhandlung;collective bargaining
der Betriebsrat;works council
die Mitbestimmung;co-determination
die Kündigungsfrist;notice period
die Abfindung;severance pay
die Arbeitsplatzsicherheit;job security
die Karriereentwicklung;career development
die Beförderung;promotion
die Versetzung;transfer
die Einarbeitungsphase;onboarding phase
die Probezeit;probation period
die Verhandlungsstrategie;negotiation strategy
die Gesprächsführung;conducting a conversation
die Argumentationsstruktur;argument structure
die Überzeugungskraft;persuasiveness
