Während des langen Winters.;During the long winter.
Wegen des starken Regens.;Because of the heavy rain.
Trotz des schlechten Wetters.;Despite the bad weather.
Während der schwierigen Prüfung.;During the difficult exam.
Wegen der hohen Kosten.;Because of the high costs.
Trotz der großen Entfernung.;Despite the great distance.
Innerhalb des alten Gebäudes.;Inside the old building.
Außerhalb der belebten Innenstadt.;Outside the busy city center.
Während des wichtigen Gesprächs.;During the important conversation.
Wegen des plötzlichen Stromausfalls.;Because of the sudden power outage.
Trotz des unerwarteten Problems.;Despite the unexpected problem.
Anstatt des ursprünglichen Plans.;Instead of the original plan.
Während der letzten Woche.;During the last week.
Wegen der komplizierten Situation.;Because of the complicated situation.
Trotz der langen Wartezeit.;Despite the long waiting time.
Innerhalb der modernen Wohnung.;Inside the modern apartment.
Außerhalb der kleinen Stadt.;Outside the small town.
Während des gesamten Tages.;During the entire day.
Wegen des starken Verkehrs.;Because of the heavy traffic.
Trotz des fehlenden Geldes.;Despite the missing money.
Wegen eines technischen Fehlers.;Because of a technical error.
Trotz eines schweren Unfalls.;Despite a serious accident.
Während eines kurzen Aufenthalts.;During a short stay.
Innerhalb eines einzigen Jahres.;Within a single year.
Außerhalb eines sicheren Bereichs.;Outside a safe area.
Wegen eines wichtigen Termins.;Because of an important appointment.
Trotz eines schwierigen Anfangs.;Despite a difficult beginning.
Anstatt eines neuen Computers.;Instead of a new computer.
Während eines langen Spaziergangs.;During a long walk.
Wegen eines ungewöhnlichen Geräusches.;Because of an unusual noise.
Die Farbe des neuen Autos gefällt mir.;I like the color of the new car.
Der Beginn des Films war überraschend.;The beginning of the movie was surprising.
Das Ende des spannenden Romans war traurig.;The ending of the exciting novel was sad.
Die Qualität des frischen Brotes ist ausgezeichnet.;The quality of the fresh bread is excellent.
Die Ursache des schweren Unfalls bleibt unbekannt.;The cause of the serious accident remains unknown.
Die Tür des alten Hauses war verschlossen.;The door of the old house was locked.
Die Stimme des bekannten Schauspielers klingt vertraut.;The voice of the famous actor sounds familiar.
Die Entscheidung des erfahrenen Arztes war richtig.;The experienced doctor's decision was correct.
Die Entwicklung des neuen Projekts dauert länger.;The development of the new project is taking longer.
Die Bedeutung des wichtigen Wortes ist unklar.;The meaning of the important word is unclear.
Die Geschichte der alten Stadt ist faszinierend.;The history of the old city is fascinating.
Die Tochter der freundlichen Nachbarin studiert Medizin.;The friendly neighbor's daughter studies medicine.
Die Meinung der erfahrenen Lehrerin hat mich überzeugt.;The experienced teacher's opinion convinced me.
Die Ursache der plötzlichen Veränderung ist unbekannt.;The cause of the sudden change is unknown.
Die Schönheit der historischen Landschaft beeindruckt viele Besucher.;The beauty of the historic landscape impresses many visitors.
Die Preise der beliebten Restaurants sind gestiegen.;The prices of the popular restaurants have increased.
Die Namen der neuen Mitarbeiter stehen hier.;The names of the new employees are here.
Die Fenster der hellen Wohnung wurden repariert.;The windows of the bright apartment were repaired.
Die Ergebnisse der wichtigen Untersuchung sind positiv.;The results of the important examination are positive.
Die Vorteile der modernen Methode sind offensichtlich.;The advantages of the modern method are obvious.
Die Zukunft der jungen Generation ist wichtig.;The future of the young generation is important.
Die Meinung meines älteren Bruders interessiert mich.;My older brother's opinion interests me.
Das Auto meiner besten Freundin ist kaputt.;My best friend's car is broken.
Die Wohnung meines neuen Kollegen liegt zentral.;My new colleague's apartment is centrally located.
Die Antwort meines geduldigen Lehrers war hilfreich.;My patient teacher's answer was helpful.
Die Stimme meiner kleinen Schwester klingt fröhlich.;My little sister's voice sounds cheerful.
Die Entscheidung meines Chefs war überraschend.;My boss's decision was surprising.
Das Verhalten meines alten Freundes hat mich enttäuscht.;My old friend's behavior disappointed me.
Die Adresse meines früheren Vermieters habe ich verloren.;I lost my former landlord's address.
