Ich bin.;I am.
Er verbesserte seine Aussprache, indem er täglich laut vorlas.;He improved his pronunciation by reading aloud every day.
Sie sprach so leise, sodass niemand sie verstand.;She spoke so quietly that no one understood her.
Ich schrieb alles auf, damit ich nichts vergesse.;I wrote everything down so that I wouldn't forget anything.
Obgleich er müde war, arbeitete er bis Mitternacht.;Although he was tired, he worked until midnight.
Sofern das Wetter mitspielt, machen wir einen Ausflug.;Provided the weather cooperates, we'll go on an outing.
Falls du Fragen hast, melde dich einfach.;In case you have questions, just get in touch.
Wir sollten früher aufbrechen, zumal die Straßen glatt sind.;We should set off earlier, especially since the roads are icy.
Er erklärte den Plan, wobei er auf einige Risiken hinwies.;He explained the plan, pointing out some risks in the process.
Sie unterschrieb den Vertrag, wonach die Arbeiten sofort begannen.;She signed the contract, after which the work began at once.
Je länger ich wartete, desto ungeduldiger wurde ich.;The longer I waited, the more impatient I became.
Sowohl die Eltern als auch die Kinder waren begeistert.;Both the parents and the children were thrilled.
Weder der Zug noch der Bus fuhr an diesem Tag.;Neither the train nor the bus ran that day.
Entweder wir einigen uns heute, oder wir vertagen alles.;Either we agree today, or we postpone everything.
Zwar war das Hotel teuer, aber das Zimmer war winzig.;The hotel was expensive, to be sure, but the room was tiny.
Er lernte die Vokabeln, indem er sie auf Karten schrieb.;He learned the vocabulary by writing it on cards.
Die Suppe war versalzen, sodass niemand sie aß.;The soup was oversalted, so that no one ate it.
Sie sprach langsam, damit alle folgen konnten.;She spoke slowly so that everyone could follow.
Obgleich das Angebot verlockend war, lehnte er ab.;Although the offer was tempting, he declined.
Sofern nichts dazwischenkommt, sehen wir uns morgen.;Provided nothing comes up, we'll see each other tomorrow.
Falls der Aufzug defekt ist, nehmen wir die Treppe.;In case the lift is broken, we'll take the stairs.
Der Ausflug lohnt sich, zumal der Eintritt frei ist.;The trip is worthwhile, especially since admission is free.
Er stellte das Projekt vor, wobei ihm einige Fehler unterliefen.;He presented the project, making a few mistakes in the process.
Sie reichte den Antrag ein, wonach sie wochenlang wartete.;She submitted the application, after which she waited for weeks.
Je mehr er übte, desto sicherer wurde er.;The more he practiced, the more confident he became.
Sowohl im Sommer als auch im Winter ist der Ort schön.;The place is beautiful both in summer and in winter.
Weder er noch sie wollte den ersten Schritt machen.;Neither he nor she wanted to make the first move.
Entweder du entschuldigst dich, oder ich gehe.;Either you apologize, or I'm leaving.
Zwar hatte sie recht, aber ihr Ton war zu scharf.;She was right, admittedly, but her tone was too harsh.
Man löst das Problem, indem man die Ursache beseitigt.;One solves the problem by eliminating the cause.
Es regnete stark, sodass wir das Spiel absagen mussten.;It rained heavily, so that we had to cancel the game.
Ich rief vorher an, damit man mir einen Tisch reserviert.;I called ahead so that a table would be reserved for me.
