Ich bin.;I am.
Der Mann ist alt.;The man is old.
Die Frau ist jung.;The woman is young.
Das Kind ist klein.;The child is small.
Wir sind hier.;We are here.
Ihr seid spät.;You all are late.
Sie sind müde.;They are tired.
Das Buch ist interessant.;The book is interesting.
Die Tasche ist schwer.;The bag is heavy.
Der Tisch ist neu.;The table is new.
Die Stadt ist groß.;The city is big.
Ich war gestern zu Hause.;I was at home yesterday.
Er war krank.;He was sick.
Wir waren im Park.;We were in the park.
Sie war sehr freundlich.;She was very friendly.
Ihr wart laut.;You all were loud.
Ich habe ein Auto.;I have a car.
Du hast einen Bruder.;You have a brother.
Er hat eine Idee.;He has an idea.
Wir haben viel Zeit.;We have a lot of time.
Sie haben Hunger.;They are hungry.
Ich hatte früher einen Hund.;I had a dog before.
Sie hatte keine Zeit.;She had no time.
Wir hatten Glück.;We had luck.
Er hatte viele Freunde.;He had many friends.
Ich gehe in den Laden.;I go into the shop.
Du gehst zur Arbeit.;You go to work.
Er geht nach Hause.;He goes home.
Wir gehen durch den Park.;We go through the park.
Sie gehen am Abend spazieren.;They go for a walk in the evening.
Ich ging gestern ins Kino.;I went to the cinema yesterday.
Er ging schnell weg.;He went away quickly.
Wir gingen zusammen.;We went together.
Ich komme aus Deutschland.;I come from Germany.
Sie kommt aus der Stadt.;She comes from the city.
Wir kommen später.;We come later.
Er kam zu spät.;He came too late.
Ich mache die Tür auf.;I open the door.
Du machst das Fenster zu.;You close the window.
Er macht seine Hausaufgaben.;He does his homework.
Wir machen eine Pause.;We take a break.
Sie machten einen Fehler.;They made a mistake.
Ich sehe den Hund.;I see the dog.
Du siehst die Berge.;You see the mountains.
Er sieht einen Vogel.;He sees a bird.
Wir sehen das Meer.;We see the sea.
Ich sah einen Film.;I watched a movie.
Ich esse mit der Familie.;I eat with the family.
Du isst gern Obst.;You like to eat fruit.
Er isst ein Sandwich.;He eats a sandwich.
Wir essen im Restaurant.;We eat in the restaurant.
Sie aßen zusammen.;They ate together.
Ich trinke ohne Zucker.;I drink without sugar.
Du trinkst ein Glas Wasser.;You drink a glass of water.
Er trinkt Bier.;He drinks beer.
Wir trinken am Abend Tee.;We drink tea in the evening.
Sie tranken Kaffee.;They drank coffee.
Ich schlafe lange.;I sleep long.
Du schläfst wenig.;You sleep little.
Er schläft im Bett.;He sleeps in the bed.
Wir schlafen gut.;We sleep well.
Ich schlief schlecht.;I slept badly.
Ich kaufe im Supermarkt.;I shop in the supermarket.
Du kaufst ein Brot.;You buy a bread.
Er kauft Kleidung.;He buys clothes.
Wir kaufen für die Party.;We buy for the party.
Sie kauften viel.;They bought a lot.
Ich wohne in Berlin.;I live in Berlin.
Du wohnst bei deinen Eltern.;You live with your parents.
Er wohnt allein.;He lives alone.
Wir wohnen zusammen.;We live together.
Sie wohnten dort.;They lived there.
Ich fahre mit dem Bus.;I travel by bus.
Du fährst nach Hause.;You drive home.
Er fährt schnell.;He drives fast.
Wir fahren ans Meer.;We go to the sea.
Sie fuhren gestern.;They drove yesterday.
Ich lese ein Buch.;I read a book.
Du liest die Zeitung.;You read the newspaper.
Er liest langsam.;He reads slowly.
Wir lesen zusammen.;We read together.
Ich las lange.;I read for a long time.
Ich schreibe einen Brief.;I write a letter.
Du schreibst eine Nachricht.;You write a message.
Er schreibt viel.;He writes a lot.
Wir schreiben im Unterricht.;We write in class.
Sie schrieben schnell.;They wrote quickly.
Ich nehme den Zug.;I take the train.
Du nimmst das Geld.;You take the money.
Er nimmt ein Bad.;He takes a bath.
Wir nehmen Platz.;We take a seat.
Sie nahmen alles.;They took everything.
Ich finde den Weg.;I find the way.
Du findest das gut.;You find that good.
Er findet einen Job.;He finds a job.
Wir finden Lösungen.;We find solutions.
Ich fand es schwer.;I found it difficult.
Ich bleibe zu Hause.;I stay at home.
Du bleibst hier.;You stay here.
Er bleibt ruhig.;He stays calm.
Wir bleiben lange.;We stay long.
Sie blieben zusammen.;They stayed together.
Ich beginne um acht.;I start at eight.
Du beginnst heute.;You start today.
Er beginnt früh.;He starts early.
Wir beginnen jetzt.;We start now.
Ich begann gestern.;I started yesterday.
Ich lerne in der Schule.;I learn in school.
Du lernst schnell.;You learn quickly.
Er lernt Deutsch.;He learns German.
Wir lernen zusammen.;We learn together.
Sie lernten viel.;They learned a lot.
Ich arbeite im Büro.;I work in the office.
Du arbeitest hart.;You work hard.
Er arbeitet viel.;He works a lot.
Wir arbeiten heute.;We work today.
Sie arbeiteten dort.;They worked there.
Ich spiele im Garten.;I play in the garden.
Du spielst gern.;You like to play.
Er spielt Fußball.;He plays football.
Wir spielen Karten.;We play cards.
Sie spielten lange.;They played long.
Ich wohne neben dem Park.;I live next to the park.
Die Katze liegt auf dem Tisch.;The cat lies on the table.
Der Hund sitzt unter dem Tisch.;The dog sits under the table.
Das Bild hängt an der Wand.;The picture hangs on the wall.
Wir gehen über die Straße.;We go across the street.
Das Geschenk ist für dich.;The gift is for you.
Ich komme ohne dich.;I come without you.
Er geht gegen den Wind.;He walks against the wind.
Sie fährt durch die Stadt.;She drives through the city.
Wir laufen um den See.;We walk around the lake.
Ich kann schwimmen.;I can swim.
Du kannst helfen.;You can help.
Er kann gut kochen.;He can cook well.
Wir können kommen.;We can come.
Sie konnten nicht bleiben.;They could not stay.
Ich muss arbeiten.;I must work.
Du musst lernen.;You must learn.
Er muss gehen.;He must go.
Wir müssen warten.;We must wait.
Sie mussten früh aufstehen.;They had to get up early.
Ich will schlafen.;I want to sleep.
Du willst essen.;You want to eat.
Er will reisen.;He wants to travel.
Wir wollen bleiben.;We want to stay.
Sie wollten gehen.;They wanted to go.
Ich werde morgen kommen.;I will come tomorrow.
